,attractive_train,repulsive_train,attractive_weighted_train,repulsive_weighted_train,total_train,attractive,repulsive,attractive_weighted,repulsive_weighted,total
0,0.22624116101515462,101.05428565073487,0.22624116101515462,0.19736202839720116,0.42360318996455804,0.12259511862695217,61.8505788269043,0.12259511862695217,0.12079602201282978,0.24339114055037497
1,0.1248281225485117,55.56485889192916,0.1248281225485117,0.10851982377838075,0.23334794631534564,0.12242051042616367,56.21545632171631,0.12242051042616367,0.10979046005010605,0.2322109701037407
2,0.10730746005081197,47.65234326694296,0.10730746005081197,0.09306644513841271,0.20037390506846428,0.091588493257761,43.909189346313475,0.091588493257761,0.08575595415383577,0.17734444722533227
3,0.09816614644565617,43.42563472902007,0.09816614644565617,0.08481155750385615,0.18297770402889665,0.0825126870572567,40.39095523452759,0.0825126870572567,0.07888473808765412,0.16139742505550383
4,0.09233800258117483,40.715473723137514,0.09233800258117483,0.07951853238310784,0.17185653489596403,0.08333725465834141,39.63902408981323,0.08333725465834141,0.07741619423776865,0.16075344923138618
5,0.11516008971697536,51.65640973619877,0.11516008971697536,0.1008865061252982,0.21604659598949544,0.09660210017859935,45.26817991638183,0.09660210017859935,0.08841010285913944,0.18501220312714578
6,0.09215678538957277,40.93485125980528,0.09215678538957277,0.0799469832178428,0.17210376859442542,0.08242157688736916,41.807182342529295,0.08242157688736916,0.08165067188441753,0.16407224825024605
7,0.08245638625011431,36.44906731543577,0.08245638625011431,0.07118611362966382,0.15364249988218373,0.07841792284697294,34.08741418838501,0.07841792284697294,0.06657373473793268,0.1449916573315859
8,0.07777591742191237,34.212293049692725,0.07777591742191237,0.06681762691373112,0.14459354428897514,0.06991336804628372,32.23843795776367,0.06991336804628372,0.06296262908726931,0.1328759970217943
9,0.0737257190087184,32.19754862351179,0.0737257190087184,0.06288277105037732,0.13660849001627628,0.06972783771157265,29.435842430114747,0.06972783771157265,0.057489076569676396,0.12721691426634787
10,0.07241001992120648,31.57906156606673,0.07241001992120648,0.06167484743006544,0.13408486741574163,0.06752036002278328,29.857228488922118,0.06752036002278328,0.05831205616891384,0.12583241617679597
11,0.06938708119549508,30.119454632768576,0.06938708119549508,0.05882419161734294,0.12821127281380026,0.06608069916069507,29.498269653320314,0.06608069916069507,0.057610998913645746,0.12369169828295708
12,0.06720458307300722,29.078661588924763,0.06720458307300722,0.056791491832968555,0.12399607493917286,0.07221418935060502,27.70778141403198,0.07221418935060502,0.05411412208527327,0.12632831145823
13,0.06590413518156651,28.448896591844722,0.06590413518156651,0.05556154203468033,0.12146567723019924,0.0702571008503437,28.8284154586792,0.0702571008503437,0.05630275373905897,0.12655985467135905
14,0.0651298056333876,28.080859292281716,0.0651298056333876,0.0548427541987172,0.11997255977485187,0.07959168545901775,26.67959162902832,0.07959168545901775,0.05210603680461645,0.13169772221148013
15,0.06395446143233235,27.436986673683464,0.06395446143233235,0.053585251825740754,0.11753971323353614,0.06186129570752382,26.601763786315917,0.06186129570752382,0.051954036712646486,0.11381533266603946
16,0.06303998573904396,27.056234703128013,0.06303998573904396,0.052841631895051235,0.1158816176230295,0.06641510524600744,26.645261344909667,0.06641510524600744,0.05203898872435093,0.11845409408211709
17,0.06403970803108523,27.61644381139224,0.06403970803108523,0.05393573697971525,0.11797544500743266,0.06117353049665689,27.903127872467042,0.06117353049665689,0.05449563954025507,0.11566916984319688
18,0.06237771505679746,26.966326480901444,0.06237771505679746,0.052666038454702836,0.11504375346002076,0.060702031843364236,26.2738371887207,0.060702031843364236,0.051313586331903936,0.11201561807096004
19,0.06149237256737222,26.445951356115568,0.06149237256737222,0.05164973034561796,0.11314210296543196,0.05820721285790205,27.00609122467041,0.05820721285790205,0.05274370022118092,0.11095091307163238
