,attractive_train,repulsive_train,total_train
0,0.003983512949049357,0.002678549415186579,0.004034631525638729
1,0.0025656352433941734,0.002498808790124329,0.0025650465063373597
2,0.0021404453875205464,0.0025006074295162747,0.0021399835619858028
3,0.0019455470027130728,0.002499570142059714,0.001944515777993293
4,0.0017469051034980615,0.0024997714409880794,0.0017465893169557136
5,0.0016899235503414207,0.0024999056139158485,0.0016897567171432187
6,0.0016509939857863453,0.0024995561145546206,0.0016506479672191872
7,0.001608399903458978,0.002500210186644084,0.0016081919060194525
8,0.0015016000762135405,0.0025001580776788162,0.001501550803127918
9,0.0014934959048227298,0.0025001144829669905,0.0014933785267293546
10,0.0014613890938758119,0.0025002691854000255,0.001461370333691016
11,0.0014567162809929087,0.002499666044592938,0.0014566026117136964
12,0.0013638074250150018,0.00249946975212473,0.0013637490508489095
13,0.0013611707778662936,0.002500477605506543,0.0013613034312012953
14,0.0013511269714722742,0.002500050119485144,0.0013511292554013823
15,0.001350808814471041,0.002499931298888073,0.0013507805153254173
16,0.0012843846169075244,0.0025000057219525737,0.0012844536680302943
17,0.0012826012738634954,0.002499438661296394,0.001282542770353727
18,0.001277321630180621,0.0025003644971375175,0.0012774470334147173
19,0.0012732546732997644,0.002500098227214911,0.0012733182400341862
20,0.001232388395669847,0.0024998620593721195,0.0012324360160307173
21,0.0012313204169011683,0.0025000007729784946,0.0012313807454135284
22,0.0012272420760329758,0.002500050505411557,0.0012273319615897808
23,0.0012245224925284352,0.002500126115599655,0.0012246095521874871
